Id,EmployeeId,Starts,Ends,MissPunch,Tardy,SchHr,RegHr,Ot1,Ot2,Ot3,Ot4,Ot5,PayAmt,Submit,Approve,SysUpdate,EarlyIn,GraceIn,EarlyOut,LateOut,LongMeal,ShortMeal,LongBreak,ShortBreak,Absences,DayApprove,Status,AutoMeal,EarlyOutG,NoMeal,Overtime,ShortWkDay,AppPunch,AuthOt,PaidBrk,MlPremCnt,MlPremWav,BkPremCnt,BkPremWav
523596,1289,2023-03-12T00:00:00-05:00,2023-03-25T00:00:00-04:00,0,0,0.0,80.0001,4.9166,0.0,0.0,0.0,0.0,114.98,False,False,2023-03-27T14:00:08.147-04:00,0,0,0,0,1,6,0,0,1,22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,3,0,0,3,4.92,0,19.0,0.0,0,0,0,0,0
524132,5432,2023-03-12T00:00:00-05:00,2023-03-25T00:00:00-04:00,0,0,0.0,80.0,4.6332,0.0,0.0,0.0,0.0,0.0,False,False,2023-03-27T13:09:05.307-04:00,0,0,0,0,5,2,0,0,0,22222222222222,3,0,0,1,4.63,0,20.0,0.0,0,0,0,0,0
525700,246,2023-03-12T00:00:00-05:00,2023-03-25T00:00:00-04:00,0,0,0.0,66.5335,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2023-03-24T16:41:46.787-04:00,0,0,0,0,6,1,0,0,1,22222222222222,3,0,0,0,0.0,0,17.0,0.0,0,0,0,0,0
527699,2288,2023-03-12T00:00:00-05:00,2023-03-25T00:00:00-04:00,0,0,0.0,80.0,1.6168,0.0,0.0,0.0,0.0,0.0,False,False,2023-03-27T13:02:43.213-04:00,0,0,0,0,0,0,0,0,0,22222222222222,3,0,0,0,1.62,0,15.0,0.0,0,0,0,0,0
527805,6581,2023-03-12T00:00:00-05:00,2023-03-25T00:00:00-04:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,False,False,2023-03-27T13:27:25.103-04:00,0,0,0,0,0,0,0,0,0,22222222222222,3,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0
527806,6581,2023-03-26T00:00:00-04:00,2023-04-08T00:00:00-04:00,0,0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,250.0,False,False,2023-04-10T12:35:11.977-04:00,0,0,0,0,0,0,0,0,0,22222222222222222222222222222222222222222222222222222222,3,0,0,0,0.0,0,3.0,0.0,0,0,0,0,0
529084,1103,2023-03-26T00:00:00-04:00,2023-04-08T00:00:00-04:00,0,0,0.0,82.4334,1.8499,0.0,0.0,0.0,0.0,0.0,False,False,2023-04-10T11:16:31.84-04:00,0,0,0,0,5,0,0,0,0,22222222222222,3,0,0,4,1.85,0,16.0,0.0,0,0,0,0,0
529175,1862,2023-03-26T00:00:00-04:00,2023-04-08T00:00:00-04:00,0,0,0.0,80.0167,0.0667,0.0,0.0,0.0,0.0,0.0,False,False,2023-04-08T20:12:20.013-04:00,0,0,0,0,0,0,0,0,2,22222222222222,3,0,0,6,0.07,0,8.0,0.0,0,0,0,0,0
529245,1106,2023-03-26T00:00:00-04:00,2023-04-08T00:00:00-04:00,0,0,0.0,80.0,7.9999,0.0,0.0,0.0,0.0,0.0,False,False,2023-04-10T11:51:33.49-04:00,0,0,0,0,2,3,0,0,1,22222222222222,3,0,0,4,8.0,0,14.0,0.0,0,0,0,0,0
529955,6232,2023-03-26T00:00:00-04:00,2023-04-08T00:00:00-04:00,0,0,0.0,77.0834,14.6001,0.0,0.0,0.0,0.0,0.0,False,False,2023-04-10T12:38:26.59-04:00,0,0,0,0,5,1,0,0,0,,3,0,0,2,14.6,0,18.0,0.0,0,0,0,0,0
